iter	Passed	Remaining
0	1	5318
1	3	6064
2	4	6254
3	5	5887
4	7	5757
5	8	5677
6	9	5641
7	11	5565
8	12	5475
9	13	5431
10	14	5413
11	16	5417
12	17	5413
13	19	5435
14	20	5432
15	21	5465
16	23	5509
17	24	5487
18	26	5484
19	27	5471
20	28	5469
21	30	5475
22	31	5469
23	32	5451
24	34	5458
25	35	5444
26	37	5463
27	38	5497
28	40	5482
29	41	5489
30	42	5496
31	44	5482
32	45	5456
33	46	5433
34	47	5413
35	49	5400
36	50	5398
37	51	5385
38	52	5373
39	54	5362
40	55	5340
41	56	5321
42	57	5321
43	59	5306
44	60	5287
45	61	5275
46	62	5265
47	63	5248
48	65	5248
49	66	5237
50	67	5221
51	68	5215
52	69	5209
53	71	5204
54	72	5197
55	73	5193
56	74	5184
57	76	5178
58	77	5168
59	78	5164
60	79	5163
61	81	5156
62	82	5146
63	83	5141
64	84	5143
65	86	5147
66	87	5143
67	88	5141
68	90	5135
69	91	5123
70	92	5118
71	93	5118
72	94	5109
73	96	5108
74	97	5102
75	98	5101
76	100	5100
77	101	5095
78	102	5089
79	103	5081
80	104	5072
81	106	5068
82	107	5066
83	108	5059
84	109	5050
85	110	5043
86	112	5049
87	113	5051
88	115	5059
89	116	5055
90	117	5051
91	118	5045
92	120	5046
93	121	5043
94	122	5043
95	124	5045
96	125	5048
97	126	5043
98	127	5041
99	129	5044
100	130	5051
101	132	5051
102	133	5045
103	134	5036
104	135	5031
105	136	5022
106	137	5017
107	139	5012
108	140	5015
109	141	5013
110	142	5007
111	144	5004
112	145	5000
113	146	4999
114	147	4994
115	148	4987
116	150	4983
117	151	4981
118	152	4982
119	153	4978
120	155	4972
121	156	4968
122	157	4962
123	158	4961
124	160	4960
125	161	4959
126	162	4954
127	163	4953
128	165	4955
129	166	4954
130	167	4951
131	168	4947
132	170	4948
133	171	4944
134	172	4949
135	174	4954
136	175	4954
137	177	4953
138	178	4950
139	179	4949
140	180	4944
141	181	4940
142	183	4940
143	184	4940
144	185	4942
145	187	4954
146	189	4956
147	190	4956
148	191	4954
149	192	4949
150	194	4945
151	195	4943
152	196	4939
153	197	4938
154	198	4934
155	200	4935
156	201	4931
157	202	4928
158	203	4927
159	205	4927
160	206	4926
161	207	4921
162	209	4921
163	210	4919
164	211	4918
165	212	4912
166	214	4914
167	215	4917
168	217	4920
169	218	4917
170	219	4914
171	220	4914
172	222	4915
173	223	4915
174	224	4914
175	226	4914
176	227	4914
177	228	4914
178	230	4924
179	232	4929
180	233	4931
181	235	4932
182	236	4933
183	237	4934
184	239	4930
185	240	4933
186	241	4932
187	243	4933
188	244	4932
189	259	5205
190	260	5201
191	262	5198
192	263	5194
193	264	5194
194	266	5196
195	267	5193
196	268	5187
197	269	5182
198	271	5176
199	272	5173
200	273	5170
201	274	5168
202	275	5161
203	277	5162
204	278	5159
205	280	5159
206	281	5157
207	282	5153
208	283	5149
209	285	5144
210	286	5142
211	287	5144
212	289	5141
213	290	5138
214	291	5135
215	293	5134
216	294	5132
217	295	5129
218	296	5125
219	298	5124
220	299	5122
221	300	5120
222	302	5117
223	303	5115
224	304	5111
225	305	5106
226	307	5109
227	308	5106
228	309	5104
229	311	5100
230	312	5098
231	313	5096
232	315	5093
233	316	5094
234	317	5091
235	319	5089
236	320	5085
237	321	5083
238	323	5088
239	325	5092
240	326	5089
241	327	5085
242	328	5083
243	330	5082
244	331	5079
245	332	5078
246	334	5076
247	335	5075
248	337	5076
249	338	5079
250	340	5080
251	341	5078
252	343	5080
253	344	5078
254	345	5075
255	346	5072
256	348	5068
257	349	5067
258	350	5063
259	351	5060
260	353	5059
261	354	5060
262	356	5058
263	357	5054
264	358	5052
265	359	5051
266	361	5053
267	363	5059
268	364	5060
269	366	5060
270	367	5063
271	369	5065
272	371	5066
273	372	5064
274	374	5068
275	375	5069
276	377	5070
277	378	5070
278	380	5069
279	381	5067
280	383	5076
281	385	5078
282	386	5077
283	388	5081
284	389	5080
285	391	5080
286	392	5078
287	394	5078
288	395	5076
289	396	5075
290	398	5077
291	399	5077
292	401	5080
293	402	5079
294	404	5079
295	405	5079
296	407	5081
297	408	5080
298	410	5078
299	411	5080
300	413	5087
301	415	5089
302	417	5090
303	418	5089
304	420	5089
305	421	5087
306	422	5085
307	424	5085
308	425	5084
309	427	5085
310	428	5085
311	430	5085
312	431	5086
313	433	5086
314	434	5086
315	436	5085
316	437	5084
317	439	5084
318	440	5080
319	441	5079
320	443	5085
321	445	5084
322	446	5083
323	448	5084
324	449	5086
325	451	5090
326	452	5087
327	454	5089
328	456	5089
329	458	5098
330	460	5108
331	462	5108
332	463	5107
333	465	5109
334	467	5110
335	468	5111
336	470	5111
337	471	5110
338	473	5116
339	475	5116
340	476	5113
341	477	5111
342	479	5110
343	480	5111
344	482	5110
345	483	5110
346	485	5111
347	486	5109
348	500	5241
349	502	5236
350	503	5233
351	504	5231
352	506	5231
353	507	5225
354	508	5223
355	510	5221
356	511	5220
357	512	5217
358	514	5217
359	515	5215
360	517	5213
361	518	5211
362	520	5211
363	521	5210
364	522	5207
365	524	5204
366	525	5201
367	526	5199
368	528	5198
369	529	5195
370	530	5191
371	531	5188
372	533	5184
373	534	5182
374	536	5183
375	537	5181
376	538	5178
377	540	5176
378	541	5173
379	542	5171
380	544	5168
381	545	5165
382	546	5161
383	547	5157
384	548	5154
385	550	5154
386	552	5153
387	553	5150
388	554	5146
389	555	5142
390	556	5139
391	558	5136
392	559	5134
393	560	5131
394	562	5129
395	563	5125
396	565	5128
397	566	5129
398	568	5128
399	570	5132
400	572	5134
401	573	5136
402	575	5136
403	576	5134
404	578	5132
405	579	5133
406	581	5136
407	583	5137
408	584	5135
409	586	5134
410	587	5134
411	589	5136
412	591	5136
413	593	5136
414	594	5139
415	596	5139
416	597	5137
417	599	5139
418	601	5141
419	603	5143
420	605	5145
421	606	5145
422	608	5145
423	610	5149
424	612	5153
425	614	5152
426	615	5150
427	616	5149
428	618	5148
429	620	5148
430	621	5145
431	622	5144
432	624	5143
433	626	5143
434	627	5142
435	629	5141
436	630	5140
437	632	5141
438	633	5139
439	634	5136
440	636	5134
441	637	5131
442	639	5131
443	640	5129
444	642	5132
445	644	5132
446	645	5131
447	646	5129
448	648	5127
449	649	5123
450	650	5121
451	652	5120
452	653	5119
453	655	5122
454	657	5123
455	658	5121
456	660	5120
457	661	5117
458	663	5115
459	664	5114
460	665	5112
461	667	5109
462	668	5107
463	670	5108
464	671	5107
465	673	5104
466	674	5101
467	675	5097
468	676	5094
469	678	5092
470	679	5089
471	680	5088
472	682	5086
473	683	5082
474	684	5081
475	686	5081
476	687	5080
477	689	5078
478	690	5076
479	691	5074
480	693	5072
481	695	5074
482	696	5070
483	697	5069
484	699	5069
485	701	5069
486	702	5068
487	704	5066
488	705	5064
489	706	5062
490	708	5060
491	709	5058
492	710	5055
493	711	5051
494	712	5048
495	714	5046
496	715	5045
497	717	5043
498	718	5041
499	719	5038
500	721	5036
501	722	5035
502	724	5033
503	725	5030
504	726	5027
505	727	5024
506	728	5020
507	730	5020
508	731	5019
509	733	5019
510	734	5017
511	736	5015
512	737	5013
513	739	5013
514	740	5012
515	742	5011
516	743	5010
517	745	5010
518	746	5008
519	748	5007
520	749	5004
521	750	5002
522	752	5003
523	754	5004
524	755	5002
525	757	5001
526	758	4999
527	759	4996
528	761	4996
529	762	4995
530	764	4993
531	765	4991
532	767	4989
533	768	4987
534	769	4985
535	771	4983
536	772	4981
537	773	4980
538	775	4980
539	777	4980
540	778	4978
541	780	4977
542	781	4976
543	782	4973
544	784	4971
545	785	4970
546	786	4967
547	788	4966
548	789	4965
549	791	4964
550	792	4961
551	793	4959
552	795	4956
553	796	4954
554	797	4952
555	799	4950
556	800	4948
557	801	4947
558	803	4945
559	804	4942
560	805	4940
561	807	4938
562	808	4936
563	809	4934
564	811	4932
565	812	4930
566	814	4930
567	815	4929
568	817	4928
569	818	4926
570	819	4923
571	821	4923
572	822	4921
573	824	4922
574	826	4921
575	827	4919
576	829	4917
577	830	4916
578	831	4914
579	833	4912
580	834	4911
581	836	4910
582	837	4908
583	838	4907
584	840	4906
585	841	4904
586	843	4901
587	844	4900
588	845	4897
589	847	4895
590	848	4894
591	849	4892
592	851	4893
593	859	4931
594	861	4929
595	862	4928
596	864	4926
597	866	4930
598	868	4930
599	869	4928
600	871	4927
601	872	4925
602	874	4924
603	875	4922
604	877	4922
605	878	4920
606	880	4919
607	881	4919
608	883	4918
609	884	4916
610	886	4914
611	887	4912
612	888	4910
613	890	4908
614	891	4907
615	893	4906
616	894	4904
617	896	4903
618	897	4903
619	899	4902
620	900	4899
621	901	4898
622	903	4897
623	904	4895
624	906	4894
625	907	4892
626	909	4891
627	910	4890
628	912	4889
629	914	4890
630	916	4891
631	917	4890
632	919	4890
633	920	4889
634	922	4888
635	924	4888
636	925	4887
637	927	4887
638	928	4885
639	930	4884
640	931	4883
641	933	4881
642	934	4880
643	936	4878
644	938	4879
645	939	4878
646	941	4878
647	943	4878
648	944	4876
649	945	4875
650	947	4873
651	948	4872
652	950	4870
653	951	4870
654	953	4870
655	955	4872
656	957	4872
657	958	4870
658	960	4869
659	961	4867
660	963	4868
661	965	4870
662	967	4869
663	968	4867
664	970	4866
665	971	4865
666	973	4865
667	975	4864
668	976	4863
669	978	4863
670	980	4864
671	981	4862
672	983	4861
673	984	4859
674	986	4859
675	988	4859
676	989	4859
677	991	4857
678	992	4856
679	994	4855
680	996	4855
681	997	4853
682	999	4852
683	1000	4851
684	1002	4851
685	1004	4851
686	1005	4849
687	1006	4846
688	1008	4844
689	1009	4843
690	1011	4841
691	1012	4840
692	1014	4839
693	1016	4839
694	1018	4841
695	1019	4840
696	1021	4839
697	1022	4838
698	1024	4837
699	1025	4835
700	1027	4833
701	1028	4831
702	1030	4831
703	1031	4830
704	1033	4829
705	1034	4827
706	1036	4826
707	1037	4823
708	1038	4820
709	1040	4819
710	1041	4817
711	1042	4815
712	1044	4813
713	1045	4812
714	1047	4811
715	1049	4812
716	1050	4811
717	1052	4810
718	1053	4809
719	1055	4808
720	1057	4808
721	1058	4806
722	1060	4804
723	1061	4805
724	1063	4805
725	1065	4805
726	1067	4803
727	1068	4802
728	1069	4800
729	1071	4800
730	1073	4799
731	1074	4798
732	1076	4797
733	1078	4797
734	1079	4797
735	1081	4796
736	1083	4795
737	1084	4794
738	1086	4792
739	1087	4791
740	1089	4791
741	1091	4790
742	1092	4790
743	1094	4790
744	1096	4790
745	1098	4789
746	1099	4787
747	1101	4787
748	1102	4786
749	1103	4783
750	1105	4781
751	1106	4780
752	1108	4780
753	1110	4780
754	1112	4779
755	1113	4778
756	1115	4777
757	1116	4775
758	1118	4774
759	1119	4773
760	1121	4773
761	1123	4772
762	1125	4774
763	1127	4774
764	1128	4772
765	1130	4771
766	1131	4770
767	1134	4772
768	1135	4772
769	1137	4772
770	1139	4773
771	1141	4773
772	1143	4771
773	1144	4770
774	1145	4768
775	1147	4767
776	1149	4766
777	1150	4765
778	1152	4765
779	1154	4764
780	1155	4762
781	1156	4760
782	1158	4759
783	1159	4757
784	1161	4756
785	1162	4755
786	1164	4753
787	1166	4753
788	1167	4753
789	1169	4752
790	1171	4750
791	1172	4748
792	1173	4747
793	1175	4745
794	1176	4744
795	1178	4742
796	1179	4741
797	1181	4740
798	1182	4738
799	1184	4738
800	1186	4737
801	1187	4736
802	1189	4734
803	1190	4733
804	1192	4731
805	1193	4729
806	1195	4728
807	1196	4726
808	1198	4726
809	1199	4724
810	1201	4723
811	1202	4721
812	1204	4719
813	1205	4718
814	1207	4717
815	1208	4715
816	1209	4714
817	1211	4713
818	1213	4712
819	1214	4710
820	1216	4709
821	1218	4709
822	1219	4707
823	1220	4705
824	1222	4704
825	1224	4703
826	1225	4701
827	1227	4700
828	1228	4699
829	1230	4698
830	1231	4697
831	1233	4695
832	1234	4694
833	1236	4693
834	1237	4691
835	1239	4689
836	1240	4687
837	1242	4686
838	1243	4686
839	1245	4685
840	1246	4683
841	1248	4681
842	1249	4680
843	1251	4679
844	1252	4677
845	1254	4676
846	1255	4674
847	1257	4672
848	1258	4671
849	1260	4669
850	1261	4668
851	1262	4666
852	1264	4664
853	1265	4663
854	1267	4663
855	1269	4662
856	1270	4661
857	1272	4659
858	1273	4657
859	1275	4655
860	1276	4653
861	1277	4650
862	1278	4648
863	1280	4647
864	1281	4645
865	1283	4644
866	1285	4643
867	1286	4642
868	1288	4641
869	1289	4639
870	1291	4638
